"";"Temperature (K)";"Pressure (MPa)";"Volume (m3/kg)";"Density (kg/m3)";"mol_mass (g/mol)";"Entropy (kJ/kg/K)";"Enthalpy (kJ/kg)";"Internal energy (kJ/kg)";"Cp(fr) (kJ/kg/K)";"Cv(fr) (kJ/kg/K)";"gamma(fr)";"Sound speed(fr) (m/s)";"Cp(eq) (kJ/kg/K)";"Cv(eq) (kJ/kg/K)";"gamma(eq)";"Sound speed(eq) (m/s)";"Energy Input (J/mol) ";"Energy Input (eV/molecule)";"Energy Input (kJ/kg)";"Flow rate (kg/h)"
2.652000000000e+04;2.652000000000e+04;1.013250000000e-01;1.553643802088e+02;6.436481764069e-03;1.400768669611e+01;-1.446623518872e+02;-3.871855314966e+06;-3.887597685203e+06;0.000000000000e+00;0.000000000000e+00;9.995102222320e-01;3.966549592287e+03;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;1.000000000000e+00;-1.084638863992e+08;-1.124140345425e+03;-3.871857238173e+06;1.007852674681e+02
2.654000000000e+04;2.654000000000e+04;1.013250000000e-01;1.554815479281e+02;6.431631362856e-03;1.400769213449e+01;-1.455769769392e+02;-3.896120321124e+06;-3.911874563436e+06;0.000000000000e+00;0.000000000000e+00;9.995117215846e-01;3.968047198675e+03;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;1.000000000000e+00;-1.091436317280e+08;-1.131185355281e+03;-3.896122244331e+06;1.007852674681e+02
2.656000000000e+04;2.656000000000e+04;1.013250000000e-01;1.555987156474e+02;6.426788266469e-03;1.400769758370e+01;-1.464937164938e+02;-3.920459759821e+06;-3.936225874208e+06;0.000000000000e+00;0.000000000000e+00;9.995132117852e-01;3.969544223670e+03;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;1.000000000000e+00;-1.098254621653e+08;-1.138251975599e+03;-3.920461683028e+06;1.007852674681e+02
2.658000000000e+04;2.658000000000e+04;1.013250000000e-01;1.557158833660e+02;6.421952458436e-03;1.400770304370e+01;-1.474125673677e+02;-3.944873631058e+06;-3.960651617520e+06;0.000000000000e+00;0.000000000000e+00;9.995146929175e-01;3.971040668054e+03;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;1.000000000000e+00;-1.105093777111e+08;-1.145340206377e+03;-3.944875554265e+06;1.007852674681e+02
2.660000000000e+04;2.660000000000e+04;1.013250000000e-01;1.558330510836e+02;6.417123922341e-03;1.400770851447e+01;-1.483335263848e+02;-3.969361934833e+06;-3.985151793370e+06;0.000000000000e+00;0.000000000000e+00;9.995161650640e-01;3.972536532608e+03;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;1.000000000000e+00;-1.111953783654e+08;-1.152450047616e+03;-3.969363858040e+06;1.007852674681e+02
2.662000000000e+04;2.662000000000e+04;1.013250000000e-01;1.559502188011e+02;6.412302641752e-03;1.400771399599e+01;-1.492565903761e+02;-3.993924671147e+06;-4.009726401759e+06;0.000000000000e+00;0.000000000000e+00;9.995176283061e-01;3.974031818108e+03;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;1.000000000000e+00;-1.118834641283e+08;-1.159581499317e+03;-3.993926594354e+06;1.007852674681e+02
2.664000000000e+04;2.664000000000e+04;1.013250000000e-01;1.560673865175e+02;6.407488600366e-03;1.400771948822e+01;-1.501817561797e+02;-4.018561839999e+06;-4.034375442686e+06;0.000000000000e+00;0.000000000000e+00;9.995190827245e-01;3.975526525328e+03;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;1.000000000000e+00;-1.125736349995e+08;-1.166734561478e+03;-4.018563763206e+06;1.007852674681e+02
2.666000000000e+04;2.666000000000e+04;1.013250000000e-01;1.561845542339e+02;6.402681781851e-03;1.400772499114e+01;-1.511090206411e+02;-4.043273441389e+06;-4.059098916152e+06;0.000000000000e+00;0.000000000000e+00;9.995205283987e-01;3.977020655041e+03;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;1.000000000000e+00;-1.132658909793e+08;-1.173909234100e+03;-4.043275364596e+06;1.007852674681e+02
2.668000000000e+04;2.668000000000e+04;1.013250000000e-01;1.563017219493e+02;6.397882170000e-03;1.400773050472e+01;-1.520383806125e+02;-4.068059475318e+06;-4.083896822155e+06;0.000000000000e+00;0.000000000000e+00;9.995219654074e-01;3.978514208013e+03;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;1.000000000000e+00;-1.139602320676e+08;-1.181105517183e+03;-4.068061398525e+06;1.007852674681e+02
2.670000000000e+04;2.670000000000e+04;1.013250000000e-01;1.564188896645e+02;6.393089748590e-03;1.400773602893e+01;-1.529698329535e+02;-4.092919941785e+06;-4.108769160697e+06;0.000000000000e+00;0.000000000000e+00;9.995233938282e-01;3.980007185011e+03;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;1.000000000000e+00;-1.146566582643e+08;-1.188323410726e+03;-4.092921864992e+06;1.007852674681e+02
